,FRONTAL CARROCERIA EXTERIOR,LUNA DEL ,SENSOR LLUVIA ?,SI/NO,,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,LUNA DEL ,FRANJA PARASOL,SI/NO,,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,ALETA DEL IZQ,Con intermitente lateral,SI/NO,Si lleva intermitente lat. Debe estar incluido,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,ALETA DEL IZQ,Sin intermitente lateral ,SI/NO,Si lleva intermitente lat. Debe estar incluido,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,ALETA DEL DER,Con intermitente lateral,SI/NO,Si lleva intermitente lat. Debe estar incluido,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,ALETA DEL DER,Sin intermitente lateral ,SI/NO,Si lleva intermitente lat. Debe estar incluido,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,PROTECTOR PASE RUEDAS PLASTICO DEL DER,,,Si va en 2 o 3 piezas deben venir todos,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,PROTECTOR PASE RUEDAS PLASTICO DEL IZQ,,,Si va en 2 o 3 piezas deben venir todos,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,CERRADURA CAPOT ,,,Debe incluir sirgas y mando,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,EYECTOR LAVAFARO IZQ,,,"Deben venir completos con soporte, tapa, etc.",,,,,,,
,FRONTAL CARROCERIA EXTERIOR,EYECTOR LAVAFARO DER,,,"Deben venir completos con soporte, tapa, etc.",,,,,,,
,FRONTAL CARROCERIA EXTERIOR,SENSOR PARKING DEL IZQ EXTERIOR,,,Siempre deben ser originales ,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,SENSOR PARKING DEL DER EXTERIOR,,,Siempre deben ser originales ,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,SENSOR PARKING DEL IZQ INTERIOR,,,Siempre deben ser originales ,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,SENSOR PARKING DEL DER INTERIOR,,,Siempre deben ser originales ,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,CABLEADO DEL SENSORES DE PARKING,,,Siempre deben ser originales ,,,,,,,
,FRONTAL CARROCERIA EXTERIOR,UNIDAD DE SENSORES DE PARKING DEL ,,,Siempre deben ser originales ,,,,,,,
,FRONTAL CARROCERIA INTERIOR,PASE RUEDAS IZQ - CORTE CARROCERIA,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,FRONTAL CARROCERIA INTERIOR,PASE RUEDAS DER - CORTE CARROCERIA,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,FRONTAL CARROCERIA INTERIOR,TRAVIESA SUP. DEL FRENTE,,,,,,,,,,
,FRONTAL CARROCERIA INTERIOR,TRAVIESA INF. DEL  FRENTE,,,,,,,,,,
,FRONTAL CARROCERIA INTERIOR,FRENTE DELANTERO,,,,,,,,,,
,FRONTAL CARROCERIA INTERIOR,JUEGO DE BOCINAS,,,"Incluir la de graves, la de agudos y el soporte",,,,,,,
,FRONTAL CARROCERIA INTERIOR,DEPOSITO LAVALUNAS,Especificar cuantas bombas lleva,TEXTO,Incluye las bombas de lavado,,,,,,,
,FRONTAL CARROCERIA INTERIOR,REJILLA TORPEDO PLASTICO,,,,,,,,,,
,FRONTAL CARROCERIA INTERIOR,LARGUERO DEL IZQ - CORTE CARROCERIA,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,FRONTAL CARROCERIA INTERIOR,LARGUERO DEL DER - CORTE CARROCERIA,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,FRONTAL CARROCERIA INTERIOR,OJAL FARO IZQ ,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,FRONTAL CARROCERIA INTERIOR,OJAL FARO DER,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,FRONTAL CARROCERIA INTERIOR,PROTECTOR MECANICA DEL PLASTICO,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,FRONTAL CARROCERIA INTERIOR,MECANISMO LIMPIAPARABRISAS,,,Inc. Motor,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,TECHO ,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,MOLDURA IZQ TECHO ,NEGRA,SI/NO,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,MOLDURA IZQ TECHO ,PINTADA,SI/NO,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,MOLDURA DER TECHO,NEGRA,SI/NO,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,MOLDURA DER TECHO,PINTADA,SI/NO,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,SOPORTE ANTENA,,,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,ANTENA VARILLA  ROSCADA,,,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,PILAR A  IZQ - CORTE CARROCERIA,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,PILAR A  DER - CORTE CARROCERIA,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,PILAR B  IZQ - CORTE CARROCERIA,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,PILAR B  DER - CORTE CARROCERIA,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,LUNA IZQ CUSTODIA DEL,,,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,LUNA IZQ CUSTODIA TRAS,,,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,ESTRIBO IZQ - CORTE CARROCERIA,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,ESTRIBO DER - CORTE CARROCERIA,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,CARROCERIA CENTRAL EXTERIOR,PISO ZONA CENTRAL - CORTE CARROCERIA,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,GUARNECIDO-TAPIZADO TECHO ,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,GUARNECIDO-TAPIZADO SUPERIOR PILAR A IZQ,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,GUARNECIDO-TAPIZADO SUPERIOR PILAR A DER,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,GUARNECIDO-TAPIZADO SUPERIOR PILAR B IZQ,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,GUARNECIDO-TAPIZADO SUPERIOR PILAR B DER,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,GUARNECIDO-TAPIZADO INFERIOR PILAR B IZQ,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,GUARNECIDO-TAPIZADO INFERIOR PILAR B DER,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,GUARNECIDO-TAPIZADO ESTRIBO IZQ,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,GUARNECIDO-TAPIZADO ESTRIBO DER,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,MOQUETA PISO,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,RETROVISOR INT,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,ASIDERO DEL IZQ TECHO,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,ASIDERO DEL DER TECHO,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,ASIDERO TRAS IZQ TECHO,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,ASIDERO TRAS DER TECHO,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,PARASOL DEL IZQ,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,PARASOL DEL DER,,,,,,,,,,
,CARROCERIA CENTRAL INTERIOR,CONSOLA LUCES TECHO,,,,,,,,,,
,SALPICADERO + VOLANTE,SALPICADERO-TABLERO INSTRUMENTOS,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,SALPICADERO + VOLANTE,CUADRO INSTRUMENTOS ,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,SALPICADERO + VOLANTE,SOPORTE TABLERO INSTRUMENTOS,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,SALPICADERO + VOLANTE,RADIO ,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,SALPICADERO + VOLANTE,NAVEGADOR,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,SALPICADERO + VOLANTE,PANEL MULTIFUNCION,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,SALPICADERO + VOLANTE,CONSOLA CENTRAL HORIZONTAL,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,SALPICADERO + VOLANTE,GUANTERA COPILOTO,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,SALPICADERO + VOLANTE,UNIDAD CONTROL HABITACULO - CONFORT,INCLUIR REFERENCIA DE FABRICANTE ,TEXTO,,,,,,,,
,ASIENTOS,ASIENTO DEL IZQ,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,ASIENTOS,ASIENTO DEL DER,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,ASIENTOS,TAPIZADO ASIENTO DEL IZQ,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,ASIENTOS,TAPIZADO ASIENTO DEL DER,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,ASIENTOS,CINTURON DEL IZQ,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,ASIENTOS,CINTURON DEL DER,Obligatorio adjuntar foto,FOTOS,,,,,,,,
,ASIENTOS,ASIENTOS TRAS (CONJUNTO),Obligatorio adjuntar foto,FOTOS,incluye banqueta y respaldo,,,,,,,
,ASIENTOS,ANCLAJE HEMBRA CINTURON TRASERO IZQ,,,,,,,,,,
,ASIENTOS,ANCLAJE HEMBRA CINTURON TRASERO CENTRAL,,,,,,,,,,
,ASIENTOS,ANCLAJE HEMBRA CINTURON TRASERO CER,,,,,,,,,,
,ASIENTOS,CINTURON TRAS IZQ,,,,,,,,,,
,ASIENTOS,CINTURON TRAS DER,,,,,,,,,,
,ASIENTOS,CINTURON TRAS CENTRAL,,,,,,,,,,
,PUERTAS LATERALES,PUERTA DEL IZQ (COMPLETA),,,"Debe venir completa, con gomas, retrovisor, elevalunas, molduras, manillas,  etc…",,,,,,,
,PUERTAS LATERALES,PUERTA DEL DER (COMPLETA),,,"Debe venir completa, con gomas, retrovisor, elevalunas, molduras, manillas,  etc…",,,,,,,
,PUERTAS LATERALES,PUERTA DEL IZQ (DESNUDA),,,,,,,,,,
,PUERTAS LATERALES,PUERTA DEL DER (DESNUDA),,,,,,,,,,
,PUERTAS LATERALES,RETROVISOR IZQ ,Pintado o negro,TEXTO,,,,,,,,
,PUERTAS LATERALES,RETROVISOR IZQ ,Electrico / manual,TEXTO,,,,,,,,
,PUERTAS LATERALES,RETROVISOR IZQ ,Abatible electricamente,SI/NO,,,,,,,,
,PUERTAS LATERALES,RETROVISOR IZQ ,LLeva intermitente integrado,SI/NO,,,,,,,,
,PUERTAS LATERALES,RETROVISOR IZQ ,Cristal calefactado,SI/NO,,,,,,,,
,PUERTAS LATERALES,RETROVISOR DER,Pintado o negro,SI/NO,,,,,,,,
,PUERTAS LATERALES,RETROVISOR DER,Electrico / manual,TEXTO,,,,,,,,
,PUERTAS LATERALES,RETROVISOR DER,Abatible electricamente,SI/NO,,,,,,,,
,PUERTAS LATERALES,RETROVISOR DER,LLeva intermitente integrado,SI/NO,,,,,,,,
,PUERTAS LATERALES,RETROVISOR DER,Cristal calefactado,SI/NO,,,,,,,,
,PUERTAS LATERALES,CERRADURA  DEL IZQ,¿Lleva cierre centralizado?,SI/NO,,,,,,,,
,PUERTAS LATERALES,CERRADURA DEL DER,¿Lleva cierre centralizado?,SI/NO,,,,,,,,
,PUERTAS LATERALES,LUNA PUERTA DEL IZQ,,SI/NO,,,,,,,,
,PUERTAS LATERALES,LUNA PUERTA DEL DER,,SI/NO,,,,,,,,
,PUERTAS LATERALES,CONJUNTO ELEVALUNAS DEL IZQ ,¿es electrico?,SI/NO,Debe incluir mecanismo y motor,,,,,,,
,PUERTAS LATERALES,CONJUNTO ELEVALUNAS DEL DER,¿es electrico?,SI/NO,Debe incluir mecanismo y motor,,,,,,,
,PUERTAS LATERALES,GUARNECIDO-TAPIZADO PUERTA DEL IZQ,,SI/NO,,,,,,,,
,PUERTAS LATERALES,GUARNECIDO-TAPIZADO PUERTA DEL DER,,SI/NO,,,,,,,,
,PUERTAS LATERALES,ALTAVOZ PUERTA DEL IZQ,,SI/NO,,,,,,,,
,PUERTAS LATERALES,ALTAVOZ PUERTA DEL DER,,SI/NO,,,,,,,,
,PUERTAS LATERALES,BOMBIN + LLAVES  (JUEGO),,,Incluye todos los bombines y llaves del vehiculo,,,,,,,
,PUERTAS LATERALES,LLAVE SUELTA,,,,,,,,,,
,PUERTAS LATERALES,PUERTA TRAS IZQ (COMPLETA),,,"Debe venir completa, con gomas, retrovisor, elevalunas, molduras, manillas,  etc…",,,,,,,
,PUERTAS LATERALES,PUERTA TRAS DER (COMPLETA),,,"Debe venir completa, con gomas, retrovisor, elevalunas, molduras, manillas,  etc…",,,,,,,
,PUERTAS LATERALES,PUERTA TRAS IZQ (DESNUDA),,,,,,,,,,
,PUERTAS LATERALES,PUERTA TRAS DER (DESNUDA),,,,,,,,,,
,PUERTAS LATERALES,CERRADURA  TRAS IZQ,¿Lleva cierre centralizado?,SI/NO,,,,,,,,
,PUERTAS LATERALES,CERRADURA TRAS DER,¿Lleva cierre centralizado?,SI/NO,,,,,,,,
,PUERTAS LATERALES,LUNA PUERTA TRAS IZQ,¿Estan tintadas de origen?,SI/NO,,,,,,,,
,PUERTAS LATERALES,LUNA PUERTA TRAS DER,¿Estan tintadas de origen?,SI/NO,,,,,,,,
,PUERTAS LATERALES,CONJUNTO ELEVALUNAS TRAS IZQ ,¿es electrico?,SI/NO,Debe incluir mecanismo y motor,,,,,,,
,PUERTAS LATERALES,CONJUNTO ELEVALUNAS TRAS DER,¿es electrico?,SI/NO,Debe incluir mecanismo y motor,,,,,,,
,PUERTAS LATERALES,GUARNECIDO-TAPIZADO PUERTA TRAS IZQ,,,,,,,,,,
,PUERTAS LATERALES,GUARNECIDO-TAPIZADO PUERTA TRAS DER,,,,,,,,,,
,PUERTAS LATERALES,ALTAVOZ PUERTA TRAS IZQ,,,,,,,,,,
,PUERTAS LATERALES,ALTAVOZ PUERTA TRAS DER,,,,,,,,,,
,PUERTAS LATERALES,GOMA CONTORNO PUERTA DEL IZQ,,,,,,,,,,
,PUERTAS LATERALES,GOMA CONTORNO PUERTA DEL DER,,,,,,,,,,
,PUERTAS LATERALES,GOMA CONTORNO PUERTA TRAS IZQ,,,,,,,,,,
,PUERTAS LATERALES,GOMA CONTORNO PUERTA TRAS DER,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,LUNA TRAS,¿Estan tintadas de origen?,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,LUNA TRAS,¿lleva antena integrada?,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PORTON-CAPOT TRASERO,,,"Inc. Luna trasera, bisagras y molduras. ",,,,,,,
,TRASERA CARROCERIA EXTERIOR,GOMA CONTORNO MALETERO,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,GUARNECIDO-TAPIZADO PORTON TRASERO,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,AMORTIGUADOR DE PORTON TRAS IZQ,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,AMORTIGUADOR DE PORTON TRAS DER,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PILOTO TRAS IZQ EXTERIOR,"Indique si es ahumado, o la combinacion de los colores",TEXTO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PILOTO TRAS DER EXTERIOR,"Indique si es ahumado, o la combinacion de los colores",TEXTO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PILOTO TRAS IZQ INTERIOR,"Indique si es ahumado, o la combinacion de los colores",TEXTO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PILOTO TRAS IZQ INTERIOR,"Indique si es ahumado, o la combinacion de los colores",TEXTO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,FALDON TRAS - CORTE CARROCERIA,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,TRAVIESA PARAGOLPES TRAS,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,ABSORBEDOR PARAGOLPES TRASERO (PLASTICO / CORCHO),,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,GUIA-SOPORTE IZQ PARAGOLPES TRAS,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,GUIA-SOPORTE DER PARAGOLPES TRAS,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,GUIA-SOPORTE CENTRAL PARAGOLPES TRAS,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PARAGOLPES TRAS ,¿LLEVA SENSORES PROXIMIDAD ORIGINALES ?,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PARAGOLPES TRAS ,LLEVA ANTINIEBLAS / REFLECTANTES?,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PARAGOLPES TRAS ,ES PINTADO COLOR CARROCERIA ?,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PARAGOLPES TRAS ,ES PINTADO Y TEXTURADO ?,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PARAGOLPES TRAS ,LLEVA MOLDURAS NEGRAS,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PARAGOLPES TRAS ,LLEVA MOLDURAS PINTADAS,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PARAGOLPES TRAS ,LLEVA MOLDURAS CROMADAS,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PARAGOLPES TRAS ,ACABADO SPORT / ESPECIAL,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PARAGOLPES TRAS ,LLEVA SPOILER ?,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PARAGOLPES TRAS ,Nº SALIDAS DE ESCAPE,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PARAGOLPES TRAS ,SPOILER TRASERO,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,CERRADURA PORTON TRAS,¿Lleva cierre centralizado?,SI/NO,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,ALETA TRAS IZQ - CORTE CARROCERIA,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,ALETA TRAS DER - CORTE CARROCERIA,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PROTECTOR PASE RUEDAS PLASTICO TRAS DER,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PROTECTOR PASE RUEDAS PLASTICO TRAS IZQ,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,TOBERA VENTILACION TRAS IZQ,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,TOBERA VENTILACION TRAS DER,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PILOTO IZQ MATRICULA ,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,PILOTO DER MATRICULA,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,SENSOR PARKING TRAS IZQ EXTERIOR,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,SENSOR PARKING TRAS DER EXTERIOR,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,SENSOR PARKING TRAS IZQ INTERIOR,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,SENSOR PARKING TRAS DER INTERIOR,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,CABLEADO DEL SENSORES DE PARKING,,,,,,,,,,
,TRASERA CARROCERIA EXTERIOR,UNIDAD DE SENSORES DE PARKING DEL ,,,,,,,,,,
